deliverable_id,discipline,project_phase,planned_value_usd,earned_value_usd,actual_cost_usd,completion_pct,planned_duration_days,actual_duration_days
DEL-10001,Civil & Structural,Construction & Erection,3048.55,468.7,539.91,15.4,89,98
DEL-10002,Instrumentation & Control,Construction & Erection,726.15,391.37,459.91,53.9,105,88
DEL-10003,Electrical,Construction & Erection,3534.13,3053.17,3493.14,86.4,63,66
DEL-10004,Mechanical Equipment,Pre-Commissioning,10206.49,7835.61,5673.76,76.8,101,111
DEL-10005,Piping & Layout,Engineering & Design,7556.05,6083.1,7416.05,80.5,49,57
DEL-10006,Piping & Layout,Engineering & Design,6922.62,4412.78,5600.25,63.7,108,122
DEL-10007,Piping & Layout,Construction & Erection,3928.47,3389.23,3279.7,86.3,61,61
DEL-10008,Instrumentation & Control,Procurement & Fabrication,1766.54,849.06,913.16,48.1,38,42
DEL-10009,Mechanical Equipment,Construction & Erection,7422.23,6907.77,6261.03,93.1,97,122
DEL-10010,Electrical,Construction & Erection,2521.41,1860.19,1390.94,73.8,74,56
DEL-10011,Piping & Layout,Engineering & Design,28205.64,14068.28,13072.14,49.9,107,110
DEL-10012,Instrumentation & Control,Construction & Erection,7757.43,612.5,587.37,7.9,91,100
DEL-10013,Electrical,Procurement & Fabrication,3088.63,2524.72,2491.33,81.7,62,54
DEL-10014,Piping & Layout,Procurement & Fabrication,3013.6,1847.44,1655.6,61.3,37,46
DEL-10015,Piping & Layout,Construction & Erection,4562.59,2311.1,2149.29,50.7,26,31
DEL-10016,Piping & Layout,Pre-Commissioning,4057.81,2223.22,2308.48,54.8,55,69
DEL-10017,Piping & Layout,Engineering & Design,12009.66,1984.01,1834.15,16.5,43,64
DEL-10018,Civil & Structural,Procurement & Fabrication,5705.2,1718.74,1927.62,30.1,84,95
DEL-10019,Civil & Structural,Construction & Erection,2737.21,2448.3,2796.57,89.4,65,65
DEL-10020,Piping & Layout,Construction & Erection,22300.24,19867.63,27756.23,89.1,37,46
DEL-10021,Mechanical Equipment,Construction & Erection,5112.51,1228.7,1485.32,24.0,45,42
DEL-10022,Piping & Layout,Engineering & Design,9091.29,6287.19,6767.95,69.2,35,40
DEL-10023,Piping & Layout,Engineering & Design,3021.23,1992.02,1886.37,65.9,38,48
DEL-10024,Civil & Structural,Procurement & Fabrication,6571.47,5115.21,5545.21,77.8,86,105
DEL-10025,Civil & Structural,Construction & Erection,6303.67,2886.68,3143.56,45.8,23,31
DEL-10026,Electrical,Engineering & Design,1083.86,870.6,838.39,80.3,36,36
DEL-10027,Piping & Layout,Engineering & Design,24642.31,19975.47,23122.8,81.1,18,22
DEL-10028,Civil & Structural,Pre-Commissioning,13801.27,11789.55,9788.69,85.4,91,98
DEL-10029,Mechanical Equipment,Engineering & Design,3576.87,3226.72,3237.5,90.2,112,124
DEL-10030,Piping & Layout,Pre-Commissioning,2034.86,846.16,950.56,41.6,17,19
